Ref,Val,Package,PosX,PosY,Rot,Side
"J4","Conn_01x13_Pin","PinHeader_1x16_P2.54mm_Vertical",139.640000,-85.300000,180.000000,bottom
"J8","Conn_01x13_Pin","PinHeader_1x16_P2.54mm_Vertical",162.500000,-85.300000,180.000000,bottom
"C1","RGA221M1EBK-0811G","C_Elec_8x10.2",127.875000,-137.050000,180.000000,top
"C2","CL21A226MQQNNNE","C_0805_2012Metric",139.770000,-132.217500,180.000000,top
"C3","CL21A226MQQNNNE","C_0805_2012Metric",143.770000,-129.217500,90.000000,top
"C4","CL21A226MQQNNNE","C_0805_2012Metric",146.800000,-140.950000,180.000000,top
"C6","CL21A226MQQNNNE","C_0805_2012Metric",137.585000,-147.390000,180.000000,top
"C7","CL21A226MQQNNNE","C_0805_2012Metric",137.585000,-145.380000,180.000000,top
"C8","CL21A226MQQNNNE","C_0805_2012Metric",137.585000,-142.880000,0.000000,top
"C9","CL21A226MQQNNNE","C_0805_2012Metric",137.585000,-140.880000,0.000000,top
"C10","CL21A226MQQNNNE","C_0805_2012Metric",137.035000,-138.880000,0.000000,top
"C11","CL21A226MQQNNNE","C_0805_2012Metric",141.535000,-136.880000,0.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.000000,-115.300001,90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.000000,-110.912500,90.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.000000,-106.412500,90.000000,top
"J1","~","PTS526SM08SMTR2LFS",149.650000,-110.100000,0.000000,top
"J2","~","PTS526SM08SMTR2LFS",149.650000,-119.600000,0.000000,top
"J3","I2C_STANDARDQWIIC","1X04_1MM_RA",159.998600,-144.580655,0.000000,top
"J5","USB4520-03-0-A_REVA","GCT_USB4520-03-0-A_REVA",161.087500,-131.562500,90.000000,top
"J6","I2C_STANDARDQWIIC","1X04_1MM_RA",151.998600,-144.500000,0.000000,top
"J7","~","xt30",126.000000,-145.475000,180.000000,top
"L1","SRP3212A-4R7M","L_Changjiang_FNR5020S",142.350000,-144.750000,90.000000,top
"R1","RESISTOR0603","R_0805_2012Metric",151.412500,-105.590000,180.000000,top
"R2","RESISTOR0603","R_0805_2012Metric",151.382500,-115.000000,180.000000,top
"R3","RESISTOR0603","R_0805_2012Metric",153.498600,-141.526285,90.000000,top
"R4","RESISTOR0603","R_0805_2012Metric",160.498600,-141.526285,90.000000,top
"R5","RESISTOR0603","R_0805_2012Metric",160.000000,-115.300001,-90.000000,top
"R6","RESISTOR0603","R_0805_2012Metric",160.000000,-110.912500,-90.000000,top
"R7","RESISTOR0603","R_0805_2012Metric",160.000000,-106.412500,-90.000000,top
"R8","RESISTOR0603","R_0805_2012Metric",150.350000,-134.550000,180.000000,top
"R9","RESISTOR0603","R_0805_2012Metric",150.350000,-128.550000,180.000000,top
"R10","RESISTOR0603","R_0805_2012Metric",150.350000,-132.487500,180.000000,top
"R11","RESISTOR0603","R_0805_2012Metric",150.350000,-130.487500,180.000000,top
"R12","RC0603FR-7W10KL","R_0805_2012Metric",139.650000,-134.500000,180.000000,top
"R13","RC0603FR-7W10KL","R_0805_2012Metric",146.800000,-139.000000,180.000000,top
"R14","RC0603FR-7W10KL","R_0805_2012Metric",146.150000,-143.650000,90.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",151.000000,-93.750000,0.000000,top
"U2","AZ1117C","SOT-89-3",140.280000,-128.167500,90.000000,top
"U3","TPS562208","SOT-23-6_Handsoldering",142.035000,-139.880000,0.000000,top
